CAP;RS_Recapitista;RS_Lotto;RS_Plico;RS_Foglio;RS_20;RS_dem;RS_21_50;RS_51_100;RS_101_250;RS_251_350;RS_351_1000 ;RS_1001_2000;AR_Recapitista;AR_Lotto;AR_Plico;AR_Foglio;AR_20;AR_dem;AR_21_50;AR_51_100;AR_101_250;AR_251_350;AR_351_1000;AR_1001_2000;890_Recapitista;890_Lotto;890_Plico;890_Foglio;890_20;890_dem;890_21_50;890_51_100;890_101_250;890_251_350;890_351_1000;890_1001_2000
90017;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90018;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90019;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90020;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90021;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90022;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90023;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90024;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90025;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90026;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90027;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90028;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90029;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90030;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90031;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90032;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90033;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90034;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90035;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90036;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90037;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90038;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90039;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90040;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90041;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90042;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90043;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90044;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90045;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90046;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
