geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00065,RS,Poste,0,3,302,372,409,451,483,557,645
00066,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00066,AR,Poste,0,3,440,511,548,589,622,696,783
00066,RS,Poste,0,3,302,372,409,451,483,557,645
00067,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00067,AR,Poste,0,3,440,511,548,589,622,696,783
00067,RS,Poste,0,3,302,372,409,451,483,557,645
00068,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00068,AR,Poste,0,3,440,511,548,589,622,696,783
00068,RS,Poste,0,3,302,372,409,451,483,557,645
00069,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00069,AR,Poste,0,3,440,511,548,589,622,696,783
00069,RS,Poste,0,3,302,372,409,451,483,557,645
00071,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00071,AR,Poste,0,3,440,511,548,589,622,696,783
00071,RS,Poste,0,3,302,372,409,451,483,557,645
00072,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00072,AR,Poste,0,3,440,511,548,589,622,696,783
00072,RS,Poste,0,3,302,372,409,451,483,557,645
00073,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00073,AR,Poste,0,3,440,511,548,589,622,696,783
00073,RS,Poste,0,3,302,372,409,451,483,557,645
00074,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00074,AR,Poste,0,3,440,511,548,589,622,696,783
00074,RS,Poste,0,3,302,372,409,451,483,557,645
00075,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00075,AR,Poste,0,3,440,511,548,589,622,696,783
00075,RS,Poste,0,3,302,372,409,451,483,557,645
00076,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00076,AR,Poste,0,3,440,511,548,589,622,696,783
00076,RS,Poste,0,3,302,372,409,451,483,557,645
00077,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00077,AR,Poste,0,3,440,511,548,589,622,696,783
00077,RS,Poste,0,3,302,372,409,451,483,557,645
00078,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00078,AR,Poste,0,3,440,511,548,589,622,696,783
00078,RS,Poste,0,3,302,372,409,451,483,557,645
00079,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00079,AR,Poste,0,3,440,511,548,589,622,696,783
00079,RS,Poste,0,3,302,372,409,451,483,557,645
00118,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00118,AR,Poste,0,3,352,399,436,478,510,584,672
00118,RS,Poste,0,3,214,261,298,340,372,446,533
00119,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00119,AR,Poste,0,3,352,399,436,478,510,584,672
00119,RS,Poste,0,3,214,261,298,340,372,446,533
00121,890,Poste,0,3,800,958,958,1033,1033,1130,1130
